Pos,Equipes,Pts,G,N,P,Bp,Bc,diff,J
1,MC Alger,41,11,8,1,27,14,13,20
2,CR Belouizdad,34,9,7,4,24,12,12,20
3,USM Alger,33,8,9,3,19,10,9,20
4,JS Kabylie,33,9,6,5,28,21,7,20
5,Paradou,29,8,5,7,29,26,3,20
6,ES Setif,28,7,7,6,16,15,1,20
7,JS Saoura,28,8,4,8,22,23,-1,20
8,Chlef,28,6,10,4,18,15,3,20
9,El Bayadh,26,7,5,8,16,17,-1,20
10,CS Constantine,26,6,8,6,18,19,-1,20
11,Khenchela,24,6,6,8,17,27,-10,20
12,Olympique Akbou,21,5,6,9,16,18,-2,20
13,MC Oran,21,6,3,11,15,23,-8,20
14,Mostaganem,20,5,5,10,12,20,-8,20
15,Magra,18,3,9,8,12,21,-9,20
16,Biskra,17,3,8,9,10,18,-8,20
