NUMBER,Team,M,W,D,L,G,GA,PTS
1,Paris Saint Germain,28,23,5,0,80,26,74
2,Marseille,28,16,4,8,57,38,52
3,Monaco,28,15,5,8,54,35,50
4,Strasbourg,28,14,7,7,46,35,49
5,Lyon,28,14,6,8,54,38,48
6,Nice,28,13,8,7,52,35,47
7,Lille,28,13,8,7,42,30,47
8,Brest,28,13,4,11,44,43,43
9,Lens,28,12,6,10,32,30,42
10,Auxerre,28,10,8,10,39,39,38
11,Toulouse,28,9,7,12,37,36,34
12,Rennes,28,10,2,16,38,38,32
13,Nantes,28,7,9,12,33,47,30
14,Angers,28,7,6,15,26,46,27
15,Le Havre,28,8,3,17,31,57,27
16,Reims,28,6,8,14,29,42,26
17,Saint-Etienne,27,5,5,17,26,64,20
18,Montpellier,27,4,3,20,21,62,15
