Number,Team,M,W,D,L,G,GA,PTS
1,Paris Saint Germain,26,21,5,0,73,25,68
2,Marseille,26,15,4,7,53,33,49
3,Monaco,26,14,5,7,51,32,47
4,Nice,26,13,8,5,50,31,47
5,Lyon,26,13,6,7,50,33,45
6,Lille,26,12,8,6,40,28,44
7,Strasbourg,26,12,7,7,41,33,43
8,Lens,26,11,6,9,31,29,39
9,Brest,26,11,4,11,38,40,37
10,Toulouse,26,9,7,10,33,29,34
11,Auxerre,26,8,8,10,37,39,32
12,Rennes,26,9,2,15,35,37,29
13,Nantes,26,6,9,11,29,43,27
14,Angers,26,7,6,13,26,42,27
15,Reims,26,5,8,13,26,40,23
16,Le Havre,26,6,3,17,26,55,21
17,Saint-Etienne,25,5,5,15,25,57,20
18,Montpellier,25,4,3,18,21,59,15
