Number,Team,M,W,D,L,G,GA,PTS
1,Paris Saint Germain,34,22,10,2,81,33,76
2,Monaco,34,20,7,7,68,42,67
3,Brest,34,17,10,7,53,34,61
4,Lille,34,16,11,7,52,34,59
5,Nice,34,15,10,9,40,29,55
6,Lyon,34,16,5,13,49,55,53
7,Lens,34,14,9,11,45,37,51
8,Marseille,34,13,11,10,52,41,50
9,Reims,34,13,8,13,42,47,47
10,Rennes,34,12,10,12,53,46,46
11,Toulouse,34,11,10,13,42,46,43
12,Montpellier,34,10,12,12,43,48,42
13,Strasbourg,34,10,9,15,38,50,39
14,Nantes,34,9,6,19,30,55,33
15,Le Havre,34,7,11,16,34,45,32
16,Lorient,34,7,8,19,43,66,29
17,Metz,34,8,5,21,35,58,29
18,Clermont Foot,34,5,10,19,26,60,25
