NUMBER,Team,M,W,D,L,G,GA,PTS
1,Paris Saint Germain,28,23,5,0,80,26,74
2,Monaco,29,16,5,8,57,35,53
3,Marseille,29,16,4,9,57,41,52
4,Lyon,29,15,6,8,57,39,51
5,Lille,29,14,8,7,44,31,50
6,Strasbourg,29,14,8,7,48,37,50
7,Nice,29,13,9,7,54,37,48
8,Brest,29,13,5,11,47,46,44
9,Lens,29,12,6,11,32,32,42
10,Rennes,30,12,2,16,45,40,38
11,Auxerre,29,10,8,11,40,42,38
12,Toulouse,29,9,7,13,38,38,34
13,Nantes,29,7,9,13,34,49,30
14,Angers,29,8,6,15,28,46,30
15,Reims,29,7,8,14,31,42,29
16,Le Havre,29,8,3,18,32,62,27
17,Saint-Etienne,29,6,6,17,31,67,24
18,Montpellier,29,4,3,22,21,66,15
